ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
4453,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,"Adventure, Fantasy",8.2,452,2847,finished,Satoko Kiyuzuki
15805,Tasogare Otome x Amnesia,"Horror, Mystery, Romance, School, Shounen, Supernatural",8.2,454,367,finished, Maybe
70801,Dead Dead Demons Dededede Destruction,"Award Winning, Drama, School, Sci-Fi, Seinen",8.2,455,200,finished,Inio Asano
115122,Kimi ga Shinu made Koi wo Shitai,"Fantasy, Girls Love, School",8.2,456,1451,currently_publishing,Nachi Aono
124470,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,"Drama, Fantasy, Isekai, Psychological, Seinen, Suspense, Time Travel",8.2,457,4153,currently_publishing,"Haruno Atori, Tappei Nagatsuki"
115746,Shinai naru Boku e Satsui wo Komete,"Drama, Mystery, Psychological, Seinen, Suspense",8.19,460,365,finished,"Hajime Inoryuu, Shouta Itou"
140295,Tsukuritai Onna to Tabetai Onna,"Girls Love, Josei, Slice of Life",8.19,463,3338,currently_publishing,Sakaomi Yuzaki
46010,xxxHOLiC: Rei,"Drama, Mystery, Seinen, Supernatural",8.19,465,1481,currently_publishing, CLAMP
92,Bishoujo Senshi Sailor Moon,"Award Winning, Drama, Fantasy, Mahou Shoujo, Romance, Shoujo",8.19,467,306,finished,Naoko Takeuchi
373,Meteor Methuselah,"Action, Adventure, Drama, Fantasy, Romance, Shoujo",8.19,468,983,finished,Kaori Ozaki
1014,H2,"Comedy, Drama, Romance, School, Shounen, Sports, Team Sports",8.19,469,1722,finished,Mitsuru Adachi
1218,Akagi: Yami ni Oritatta Tensai,"Action, Adult Cast, Drama, Organized Crime, Psychological, Strategy Game",8.19,466,1471,finished,Nobuyuki Fukumoto
2924,Historie,"Action, Adventure, Award Winning, Historical, Seinen",8.19,472,732,currently_publishing,Hitoshi Iwaaki
53,Yuu☆Yuu☆Hakusho,"Action, Award Winning, Comedy, Drama, Shounen, Supernatural",8.18,473,226,finished,Yoshihiro Togashi
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action, Adventure, Organized Crime, Shounen",8.18,474,124,finished,Hirohiko Araki
104491,Bokura no Shokutaku,"Boys Love, Childcare, Slice of Life",8.18,477,1350,finished,Ori Mita
112694,Fushigi Neko no Kyuu-chan,"Comedy, Pets, Slice of Life",8.18,479,2471,finished,Sasami Nitori
58563,Innocent,"Drama, Historical, Seinen",8.18,480,266,finished,Shinichi Sakamoto
27231,Hirunaka no Ryuusei,"Love Polygon, Romance, School, Shoujo",8.18,481,165,finished,Mika Yamamori
30315,Last Game,"Comedy, Romance, Shoujo",8.17,485,146,finished,Shinobu Amano
1982,Koori no Mamono no Monogatari,"Boys Love, Fantasy, Shoujo, Supernatural",8.17,487,4860,finished,Shiho Sugiura
9738,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,"Drama, Horror, Mystery, Psychological",8.17,488,2038,finished,"Karin Suzuragi,  Ryukishi07"
